D_HDN	D_MFI	VPCT	VPPD_Nor	VPPD_Cen	VPPD_Sur	VPPD_Tot	CMg_Nor	CMg_Cen	CMg_Sur	Capital	Dem_Tot	Ccapital	
259.355	26.0991	4438.46	19196.8	13624.1	16120.8	57959.4	1273.67	256.279	839.785	74	11740	100	
75.5008	5.76453	588.606	2374.38	1248.42	300.732	3936.14	148.262	30.3084	25.492	74	8860	100	
63.0815	7.10487	1023.09	6335.29	1814.23	408.415	8564.57	333.874	43.8721	28.4646	74	9790	100	
64.5165	5.49857	717.253	3813.94	1426.48	343.169	5587.14	213.972	34.6402	26.0815	74	9180	100	
80.8314	5.17306	406.123	1189	1158.07	268.291	2620.22	98.8278	27.053	23.964	74	8640	100	
153.853	12.9543	1220.13	7395.28	5310.27	1751.33	18468.4	472.575	101.342	125.96	74	10690	100	
101.417	8.73528	921.023	5963.24	2215.4	427.408	8781.95	346.743	48.4924	30.3371	74	10170	100	
96.2881	7.634	797.826	4615.13	1943.54	529.675	8010.66	277.659	42.8537	38.9749	74	9760	100	
376.252	23.4504	1685.66	15160.9	14847.4	2256.73	32264.9	1170.18	253.334	162.362	74	12205	100	
208.972	14.5376	1026.33	6704.62	5006.71	1232.45	15156.5	465.233	93.3394	89.8169	74	10909	100	
165.288	13.3972	1185.6	8182.04	3296	451.205	12041.5	508.28	68.2346	31.1965	74	11020	100	
85.9931	11.7909	1931.22	14616.4	4287.55	788.665	21445.1	833.939	95.2242	47.7333	74	11489	100	
219.865	13.8122	770.862	5034.86	4578.17	857.639	10960.7	381.057	84.1444	64.4179	74	10650	100	
133.646	8.27352	570.395	3204.31	3557.45	680.603	7442.17	255.847	67.4471	53.7328	74	9350	100	
171.426	18.5481	4338.47	11771	7342.07	17528.6	38469.8	704.747	141.604	829.136	74	11041	100	
199.212	11.929	572.378	3581.93	2538.5	297.766	6420.04	285.244	49.6078	26.2671	74	10017	100	
27.3624	0.949373	264.401	501.853	664.231	178.942	1344.98	59.2343	21.2352	22.4155	74	5970	100	
260.369	26.4978	4852.33	20599.4	13803.3	17865.2	62406.1	1355.37	261.783	923.847	74	11850	100	
88.377	5.14401	404.077	1910.85	1793.7	314.351	4018.83	162.954	39.2063	30.4888	74	8130	100	
66.0422	3.95003	363.089	944.927	929.889	205.76	2081.13	89.4517	25.103	23.1882	74	7640	100	
121.053	7.20918	522.793	3037.37	3305.3	603.389	6946.08	249.143	64.443	50.8865	74	8690	100	
60.3271	6.5422	946.946	4950.06	1514.78	369.949	6853.58	261.267	37.9092	27.7985	74	9340	100	
67.8224	4.95011	537.787	2366.17	1233.17	305.451	3906.24	147.089	29.722	24.7102	74	8860	100	
59.1563	7.31961	2447.29	6490.89	1937.24	8924.45	18488.2	341.118	46.6734	416.296	74	9790	100	
35.5628	3.09338	629.894	3280.87	1018.45	265.323	4565.07	183.181	29.8647	24.6272	74	7790	100	
58.0513	3.73415	365.994	562.461	757.512	228.413	1557	54.7137	21.4344	23.3458	74	7860	100	
102.357	8.33579	803.688	4106.24	1851.02	342.142	6316.26	252.293	41.0462	27.2601	74	9610	100	
89.4918	6.14454	502.293	1204.65	1187.05	265.332	2676.47	100.496	27.8642	24.9457	74	8640	100	
147.303	9.97707	665.166	3909.75	2236.07	334.951	6484.19	271.647	45.6556	26.7051	74	10010	100	
105.855	7.80669	772.619	4096.7	4039.11	1144.07	10777.6	283.475	77.2951	84.74	74	9480	100	
104.967	11.0395	1970.88	7678.35	2841.99	5383.78	20479.1	431.65	62.6384	275.609	74	10580	100	
377.391	23.6782	1747.01	15613.8	15969.3	2532.58	34115.4	1205.12	272.544	182.203	74	12205	100	
221.058	21.1669	1872.27	9004.4	10704.8	5667.25	26340.5	642.695	190.513	318.959	74	10909	100	
158.135	13.0732	1164.33	8214.71	3298.58	704.825	13758.5	509.311	68.1178	49.3371	74	11020	100	
141.51	15.9662	3098.07	14565.3	5785.66	5596.96	36698.6	892.315	115.49	292.96	74	11700	100	
86.2328	12.388	2583.88	14717.4	4346.59	2841.74	28327	838.932	96.6626	149.441	74	11489	100	
223.561	14.5682	972.564	6524.36	8268.63	1764.91	17047.9	495.994	147.073	129.687	74	10650	100	
54.2482	2.67057	350.987	1352.54	1578.15	329.24	3259.92	123.196	36.2502	32.6182	74	6830	100	
40.1371	2.26582	300.224	318.178	553.988	189.083	1061.52	41.3722	19.1417	22.2567	74	7060	100	
34.2493	1.68314	293.832	286.918	523.572	179.471	990.361	41.0809	18.8245	22.0981	74	6540	100	
157.401	9.67322	640.287	2573.78	1978.92	277.831	4852.04	208.043	41.0209	26.2543	74	9350	100	
39.5587	1.82285	304.228	559.896	673.925	177.411	1411.63	63.4464	21.3164	22.1873	74	6360	100	
47.6362	2.88907	341.587	324.86	566.397	193.538	1085.71	43.2864	19.4599	22.8931	74	7060	100	
37.597	1.94028	309.787	289.495	528.358	181.189	999.688	41.821	18.9472	22.3436	74	6540	100	
64.8114	3.52002	361.309	1161.59	1038.41	196.426	2396.91	108.657	27.0213	23.0567	74	7120	100	
